[1/389] lm_head.weight (28896, 2560)
[2/389] transformer.h.0.attn.c_attn.bias (7680,)
[3/389] transformer.h.0.attn.c_attn.weight (2560, 7680)
[4/389] transformer.h.0.attn.c_proj.bias (2560,)
[5/389] transformer.h.0.attn.c_proj.weight (2560, 2560)
[6/389] transformer.h.0.ln_1.bias (2560,)
[7/389] transformer.h.0.ln_1.weight (2560,)
[8/389] transformer.h.0.ln_2.bias (2560,)
[9/389] transformer.h.0.ln_2.weight (2560,)
[10/389] transformer.h.0.mlp.c_fc.bias (10240,)
[11/389] transformer.h.0.mlp.c_fc.weight (2560, 10240)
[12/389] transformer.h.0.mlp.c_proj.bias (2560,)
[13/389] transformer.h.0.mlp.c_proj.weight (10240, 2560)
[14/389] transformer.h.1.attn.c_attn.bias (7680,)
[15/389] transformer.h.1.attn.c_attn.weight (2560, 7680)
[16/389] transformer.h.1.attn.c_proj.bias (2560,)
[17/389] transformer.h.1.attn.c_proj.weight (2560, 2560)
[18/389] transformer.h.1.ln_1.bias (2560,)
[19/389] transformer.h.1.ln_1.weight (2560,)
[20/389] transformer.h.1.ln_2.bias (2560,)
[21/389] transformer.h.1.ln_2.weight (2560,)
[22/389] transformer.h.1.mlp.c_fc.bias (10240,)
[23/389] transformer.h.1.mlp.c_fc.weight (2560, 10240)
[24/389] transformer.h.1.mlp.c_proj.bias (2560,)
[25/389] transformer.h.1.mlp.c_proj.weight (10240, 2560)
[26/389] transformer.h.10.attn.c_attn.bias (7680,)
[27/389] transformer.h.10.attn.c_attn.weight (2560, 7680)
[28/389] transformer.h.10.attn.c_proj.bias (2560,)
[29/389] transformer.h.10.attn.c_proj.weight (2560, 2560)
[30/389] transformer.h.10.ln_1.bias (2560,)
[31/389] transformer.h.10.ln_1.weight (2560,)
[32/389] transformer.h.10.ln_2.bias (2560,)
[33/389] transformer.h.10.ln_2.weight (2560,)
[34/389] transformer.h.10.mlp.c_fc.bias (10240,)
[35/389] transformer.h.10.mlp.c_fc.weight (2560, 10240)
[36/389] transformer.h.10.mlp.c_proj.bias (2560,)
[37/389] transformer.h.10.mlp.c_proj.weight (10240, 2560)
[38/389] transformer.h.11.attn.c_attn.bias (7680,)
[39/389] transformer.h.11.attn.c_attn.weight (2560, 7680)
[40/389] transformer.h.11.attn.c_proj.bias (2560,)
[41/389] transformer.h.11.attn.c_proj.weight (2560, 2560)
[42/389] transformer.h.11.ln_1.bias (2560,)
[43/389] transformer.h.11.ln_1.weight (2560,)
[44/389] transformer.h.11.ln_2.bias (2560,)
[45/389] transformer.h.11.ln_2.weight (2560,)
[46/389] transformer.h.11.mlp.c_fc.bias (10240,)
[47/389] transformer.h.11.mlp.c_fc.weight (2560, 10240)
[48/389] transformer.h.11.mlp.c_proj.bias (2560,)
[49/389] transformer.h.11.mlp.c_proj.weight (10240, 2560)
[50/389] transformer.h.12.attn.c_attn.bias (7680,)
[51/389] transformer.h.12.attn.c_attn.weight (2560, 7680)
[52/389] transformer.h.12.attn.c_proj.bias (2560,)
[53/389] transformer.h.12.attn.c_proj.weight (2560, 2560)
[54/389] transformer.h.12.ln_1.bias (2560,)
[55/389] transformer.h.12.ln_1.weight (2560,)
[56/389] transformer.h.12.ln_2.bias (2560,)
[57/389] transformer.h.12.ln_2.weight (2560,)
[58/389] transformer.h.12.mlp.c_fc.bias (10240,)
[59/389] transformer.h.12.mlp.c_fc.weight (2560, 10240)
[60/389] transformer.h.12.mlp.c_proj.bias (2560,)
[61/389] transformer.h.12.mlp.c_proj.weight (10240, 2560)
[62/389] transformer.h.13.attn.c_attn.bias (7680,)
[63/389] transformer.h.13.attn.c_attn.weight (2560, 7680)
[64/389] transformer.h.13.attn.c_proj.bias (2560,)
[65/389] transformer.h.13.attn.c_proj.weight (2560, 2560)
[66/389] transformer.h.13.ln_1.bias (2560,)
[67/389] transformer.h.13.ln_1.weight (2560,)
[68/389] transformer.h.13.ln_2.bias (2560,)
[69/389] transformer.h.13.ln_2.weight (2560,)
[70/389] transformer.h.13.mlp.c_fc.bias (10240,)
[71/389] transformer.h.13.mlp.c_fc.weight (2560, 10240)
[72/389] transformer.h.13.mlp.c_proj.bias (2560,)
[73/389] transformer.h.13.mlp.c_proj.weight (10240, 2560)
[74/389] transformer.h.14.attn.c_attn.bias (7680,)
[75/389] transformer.h.14.attn.c_attn.weight (2560, 7680)
[76/389] transformer.h.14.attn.c_proj.bias (2560,)
[77/389] transformer.h.14.attn.c_proj.weight (2560, 2560)
[78/389] transformer.h.14.ln_1.bias (2560,)
[79/389] transformer.h.14.ln_1.weight (2560,)
[80/389] transformer.h.14.ln_2.bias (2560,)
[81/389] transformer.h.14.ln_2.weight (2560,)
[82/389] transformer.h.14.mlp.c_fc.bias (10240,)
[83/389] transformer.h.14.mlp.c_fc.weight (2560, 10240)
[84/389] transformer.h.14.mlp.c_proj.bias (2560,)
[85/389] transformer.h.14.mlp.c_proj.weight (10240, 2560)
[86/389] transformer.h.15.attn.c_attn.bias (7680,)
[87/389] transformer.h.15.attn.c_attn.weight (2560, 7680)
[88/389] transformer.h.15.attn.c_proj.bias (2560,)
[89/389] transformer.h.15.attn.c_proj.weight (2560, 2560)
[90/389] transformer.h.15.ln_1.bias (2560,)
[91/389] transformer.h.15.ln_1.weight (2560,)
[92/389] transformer.h.15.ln_2.bias (2560,)
[93/389] transformer.h.15.ln_2.weight (2560,)
[94/389] transformer.h.15.mlp.c_fc.bias (10240,)
[95/389] transformer.h.15.mlp.c_fc.weight (2560, 10240)
[96/389] transformer.h.15.mlp.c_proj.bias (2560,)
[97/389] transformer.h.15.mlp.c_proj.weight (10240, 2560)
[98/389] transformer.h.16.attn.c_attn.bias (7680,)
[99/389] transformer.h.16.attn.c_attn.weight (2560, 7680)
[100/389] transformer.h.16.attn.c_proj.bias (2560,)
[101/389] transformer.h.16.attn.c_proj.weight (2560, 2560)
[102/389] transformer.h.16.ln_1.bias (2560,)
[103/389] transformer.h.16.ln_1.weight (2560,)
[104/389] transformer.h.16.ln_2.bias (2560,)
[105/389] transformer.h.16.ln_2.weight (2560,)
[106/389] transformer.h.16.mlp.c_fc.bias (10240,)
[107/389] transformer.h.16.mlp.c_fc.weight (2560, 10240)
[108/389] transformer.h.16.mlp.c_proj.bias (2560,)
[109/389] transformer.h.16.mlp.c_proj.weight (10240, 2560)
[110/389] transformer.h.17.attn.c_attn.bias (7680,)
[111/389] transformer.h.17.attn.c_attn.weight (2560, 7680)
[112/389] transformer.h.17.attn.c_proj.bias (2560,)
[113/389] transformer.h.17.attn.c_proj.weight (2560, 2560)
[114/389] transformer.h.17.ln_1.bias (2560,)
[115/389] transformer.h.17.ln_1.weight (2560,)
[116/389] transformer.h.17.ln_2.bias (2560,)
[117/389] transformer.h.17.ln_2.weight (2560,)
[118/389] transformer.h.17.mlp.c_fc.bias (10240,)
[119/389] transformer.h.17.mlp.c_fc.weight (2560, 10240)
[120/389] transformer.h.17.mlp.c_proj.bias (2560,)
[121/389] transformer.h.17.mlp.c_proj.weight (10240, 2560)
[122/389] transformer.h.18.attn.c_attn.bias (7680,)
[123/389] transformer.h.18.attn.c_attn.weight (2560, 7680)
[124/389] transformer.h.18.attn.c_proj.bias (2560,)
[125/389] transformer.h.18.attn.c_proj.weight (2560, 2560)
[126/389] transformer.h.18.ln_1.bias (2560,)
[127/389] transformer.h.18.ln_1.weight (2560,)
[128/389] transformer.h.18.ln_2.bias (2560,)
[129/389] transformer.h.18.ln_2.weight (2560,)
[130/389] transformer.h.18.mlp.c_fc.bias (10240,)
[131/389] transformer.h.18.mlp.c_fc.weight (2560, 10240)
[132/389] transformer.h.18.mlp.c_proj.bias (2560,)
[133/389] transformer.h.18.mlp.c_proj.weight (10240, 2560)
[134/389] transformer.h.19.attn.c_attn.bias (7680,)
[135/389] transformer.h.19.attn.c_attn.weight (2560, 7680)
[136/389] transformer.h.19.attn.c_proj.bias (2560,)
[137/389] transformer.h.19.attn.c_proj.weight (2560, 2560)
[138/389] transformer.h.19.ln_1.bias (2560,)
[139/389] transformer.h.19.ln_1.weight (2560,)
[140/389] transformer.h.19.ln_2.bias (2560,)
[141/389] transformer.h.19.ln_2.weight (2560,)
[142/389] transformer.h.19.mlp.c_fc.bias (10240,)
[143/389] transformer.h.19.mlp.c_fc.weight (2560, 10240)
[144/389] transformer.h.19.mlp.c_proj.bias (2560,)
[145/389] transformer.h.19.mlp.c_proj.weight (10240, 2560)
[146/389] transformer.h.2.attn.c_attn.bias (7680,)
[147/389] transformer.h.2.attn.c_attn.weight (2560, 7680)
[148/389] transformer.h.2.attn.c_proj.bias (2560,)
[149/389] transformer.h.2.attn.c_proj.weight (2560, 2560)
[150/389] transformer.h.2.ln_1.bias (2560,)
[151/389] transformer.h.2.ln_1.weight (2560,)
[152/389] transformer.h.2.ln_2.bias (2560,)
[153/389] transformer.h.2.ln_2.weight (2560,)
[154/389] transformer.h.2.mlp.c_fc.bias (10240,)
[155/389] transformer.h.2.mlp.c_fc.weight (2560, 10240)
